Name,City,State,Total Enrollment,Enrollment Men,Enrollment Women,Another Gender,American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident
Rogers State University,Claremore,OK,3155,1237,1918,0,587,63,122,233,2,1636,386,51,75
Rose State College,Midwest City,OK,6702,2331,4371,0,309,157,841,641,11,3349,845,545,4
Seminole State College,Seminole,OK,1551,506,1045,0,432,13,66,105,4,869,32,12,18
Shawnee Beauty College,Shawnee,OK,56,5,51,0,9,0,8,0,0,39,0,0,0
Shawnee Beauty College-Academy of Cosmetology & Barbering,Bixby,OK,4,0,4,0,0,0,0,0,0,4,0,0,0
Southeastern Oklahoma State University,Durant,OK,5479,2178,3301,0,566,78,363,450,2,2946,929,0,145
Southern Nazarene University,Bethany,OK,1507,688,819,0,59,23,203,256,3,797,118,0,48
Southern Oklahoma Technology Center,Ardmore,OK,563,274,289,0,60,3,23,55,0,267,91,64,0
Southern School of Beauty Inc,Durant,OK,22,1,21,0,3,0,0,1,0,18,0,0,0
Southwest Technology Center,Altus,OK,332,177,155,0,6,1,11,91,0,206,17,0,0
Southwestern Christian University,Bethany,OK,425,238,187,0,35,3,58,31,3,189,38,1,67
Southwestern Oklahoma State University,Weatherford,OK,4777,1732,3045,0,184,75,241,577,8,2977,496,135,84
The Academy of Hair Design LLC,Oklahoma City,OK,55,0,55,0,4,0,0,4,0,46,1,0,0
Tulsa Community College,Tulsa,OK,14391,5242,9149,0,930,651,1202,2024,28,7141,1778,333,304
Tulsa Technology Center,Tulsa,OK,3953,2130,1823,0,425,161,390,1050,7,1724,196,0,0
Tulsa Welding School-Tulsa,Tulsa,OK,793,679,114,0,127,10,100,158,5,379,1,13,0
University of Central Oklahoma,Edmond,OK,12250,4548,7702,6,438,527,1000,1609,17,6435,1357,271,596
University of Oklahoma-Health Sciences Center,Oklahoma City,OK,3389,931,2458,0,85,396,130,263,5,2022,75,292,121
University of Oklahoma-Norman Campus,Norman,OK,28308,13294,15014,0,1051,1743,1516,3463,28,15922,2552,407,1626
University of Science and Arts of Oklahoma,Chickasha,OK,825,293,532,17,50,7,40,48,0,497,104,20,59
University of Tulsa,Tulsa,OK,3769,1891,1878,0,112,205,261,406,8,1950,325,159,343
Wes Watkins Technology Center,Wetumka,OK,148,76,72,0,30,0,2,5,0,60,51,0,0
Western Oklahoma State College,Altus,OK,1338,430,908,0,28,9,93,288,0,678,158,84,0
Western Technology Center,Burns Flat,OK,530,255,275,0,14,5,10,155,0,299,47,0,0
Yukon Beauty College Inc,Yukon,OK,21,0,21,0,0,0,2,2,0,11,3,3,0
American College of Healthcare Sciences,Portland,OR,987,76,911,0,12,13,150,82,7,374,42,307,0
Aveda Institute-Portland,Portland,OR,219,6,213,0,3,6,5,34,0,133,5,33,0
Beau Monde Academy of Barbering and Cosmetology,Portland,OR,84,21,63,0,0,1,20,14,0,41,2,6,0
Blue Mountain Community College,Pendleton,OR,1227,555,672,25,35,10,11,333,7,582,30,219,0
Bushnell University,Eugene,OR,699,291,408,0,10,24,24,34,19,524,50,7,7
Carrington College-Portland,Portland,OR,285,44,241,0,2,12,25,124,6,83,2,29,2
Central Oregon Community College,Bend,OR,4155,1913,2242,0,55,63,27,606,9,2581,172,642,0
Chemeketa Community College,Salem,OR,7642,3452,4190,148,95,168,109,2337,66,3769,328,740,30
Christian Culinary Academy,Cannon Beach,OR,10,5,5,0,0,1,0,2,0,5,0,0,2
Clackamas Community College,Oregon City,OR,4638,2331,2307,223,38,183,101,744,15,2996,264,277,20
Clatsop Community College,Astoria,OR,714,311,403,55,5,2,5,133,6,397,19,147,0
College of Hair Design Careers,Salem,OR,73,3,70,0,1,1,0,21,0,47,3,0,0
Columbia Gorge Community College,The Dalles,OR,1039,363,676,106,7,9,2,251,3,341,16,410,0
Concorde Career College-Portland,Portland,OR,487,62,425,0,2,34,33,176,7,159,10,66,0
Corban University,Salem,OR,963,433,530,0,7,26,22,135,6,580,81,101,5
East West College of the Healing Arts,Portland,OR,196,47,149,19,3,9,8,22,0,148,6,0,0
Eastern Oregon University,La Grande,OR,2674,1065,1609,48,41,30,48,380,65,1848,120,110,32
George Fox University,Newberg,OR,4028,1508,2520,37,17,212,160,567,19,2677,272,92,12
Johnny Matthew's Hairdressing Training School,Salem,OR,66,34,32,0,1,2,5,25,3,21,1,3,5
Klamath Community College,Klamath Falls,OR,1580,661,919,37,40,23,17,341,7,973,69,106,4
Lane Community College,Eugene,OR,6745,3204,3541,175,84,196,133,1086,26,4352,471,250,147
Lewis & Clark College,Portland,OR,3595,1169,2426,131,20,193,85,404,7,2428,224,86,148
Linfield University,McMinnville,OR,1754,611,1143,1,9,113,25,346,15,1058,123,31,34
Linn-Benton Community College,Albany,OR,4242,1957,2285,157,41,110,48,555,17,2644,231,548,48
Mount Angel Seminary,Saint Benedict,OR,120,118,2,0,0,8,2,41,3,49,6,0,11
Mt Hood Community College,Gresham,OR,6012,3381,2631,0,46,437,204,1164,30,3035,342,690,64
Multnomah University,Portland,OR,608,335,273,0,6,29,81,94,3,295,52,12,36
National University of Natural Medicine,Portland,OR,374,53,321,48,2,21,19,29,1,202,22,72,6
New Hope Christian College-Eugene,Eugene,OR,38,22,16,0,2,5,1,9,4,12,4,0,1
Northwest College-Beaverton,Beaverton,OR,55,15,40,0,0,1,3,20,1,25,4,1,0
Northwest College-Clackamas,Happy Valley,OR,36,2,34,0,1,0,1,2,0,28,3,1,0
Northwest College-Eugene,Springfield,OR,98,9,89,0,1,1,4,7,4,74,6,1,0
Northwest College-Hillsboro,Hillsboro,OR,26,1,25,0,1,0,0,11,0,10,4,0,0
Northwest College-Medford,Medford,OR,67,6,61,0,2,1,3,7,1,52,1,0,0
Northwest College-Tualatin,Tualatin,OR,12,2,10,0,0,0,1,2,0,8,1,0,0
Oregon Coast Community College,Newport,OR,398,105,293,11,6,7,1,78,1,205,20,80,0
Oregon College of Oriental Medicine,Portland,OR,160,29,131,19,3,22,4,14,1,96,17,1,2
Oregon Health & Science University,Portland,OR,2870,884,1986,11,23,367,80,379,12,1704,201,28,76
Oregon Institute of Technology,Klamath Falls,OR,4911,2375,2536,0,59,362,122,787,24,3172,233,88,64
Oregon State University,Corvallis,OR,34292,17323,16969,198,186,2810,616,4049,96,21065,2273,859,2338
Oregon State University-Cascades Campus,Bend,OR,1273,607,666,6,14,36,13,127,4,957,75,31,16
Pacific Bible College,Medford,OR,52,35,17,0,0,1,0,1,1,45,4,0,0
Pacific Northwest College of Art,Portland,OR,487,115,372,0,5,15,25,40,2,296,42,49,13
Pacific University,Forest Grove,OR,3559,1148,2411,4,16,479,60,501,54,1675,277,342,155
Phagans Beauty College,Corvallis,OR,58,5,53,0,2,2,0,6,0,36,7,5,0
Phagans Central Oregon Beauty College,Bend,OR,97,9,88,0,3,1,0,14,0,72,3,4,0
Phagans Grants Pass College of Beauty,Grants Pass,OR,40,6,34,0,0,0,1,5,0,33,0,1,0
Phagans Medford Beauty School,Medford,OR,26,4,22,0,0,0,1,4,0,20,1,0,0
Phagans School of Beauty,Salem,OR,37,7,30,0,1,1,1,11,0,17,2,4,0
Phagans School of Hair Design,Happy Valley,OR,208,31,177,0,5,10,24,48,0,121,0,0,0
Portland Actors Conservatory,Portland,OR,12,6,6,1,0,2,0,0,0,10,0,0,0
Portland Community College,Portland,OR,19400,8251,11149,1216,137,1491,1021,3935,141,10116,1333,1089,137
Portland State University,Portland,OR,21609,8975,12634,289,285,2029,934,3959,103,10694,1361,1021,1223
Premiere Aesthetics Institute,Bend,OR,45,0,45,0,0,1,0,7,0,30,6,1,0
Reed College,Portland,OR,1534,646,888,295,3,115,16,181,0,920,151,18,130
Rogue Community College,Grants Pass,OR,3423,1402,2021,51,41,65,40,772,15,2224,184,80,2
Sage School of Massage & Esthetics,Bend,OR,22,4,18,0,1,0,0,3,1,17,0,0,0
Southern Oregon University,Ashland,OR,5204,1882,3322,172,63,127,94,686,31,2868,405,878,52
Southwestern Oregon Community College,Coos Bay,OR,1443,555,888,29,40,26,27,196,13,935,101,60,45
Summit Salon Academy-Portland,Tigard,OR,66,0,66,0,0,1,4,17,1,43,0,0,0
Sumner College,Portland,OR,510,59,451,0,10,46,84,60,0,265,19,26,0
Tillamook Bay Community College,Tillamook,OR,538,228,310,1,6,9,2,120,1,373,14,6,7
Treasure Valley Community College,Ontario,OR,1329,600,729,54,10,10,13,363,5,727,16,172,13
Umpqua Community College,Roseburg,OR,2325,865,1460,189,28,43,29,299,11,1674,154,80,7
University of Oregon,Eugene,OR,23163,10292,12871,94,113,1534,609,3371,100,14172,1886,379,999
University of Portland,Portland,OR,3793,1374,2419,0,14,701,85,623,44,1743,341,62,180
University of Western States,Portland,OR,1096,376,720,0,2,43,50,31,2,581,79,43,265
Warner Pacific University,Portland,OR,444,167,277,0,12,51,50,140,6,156,16,13,0
Warner Pacific University Professional and Graduate Studies,Portland,OR,376,126,250,0,12,26,74,63,8,165,15,13,0
Western Oregon University,Monmouth,OR,3751,1289,2462,77,38,98,106,842,51,2253,205,115,43
Western Seminary,Portland,OR,817,559,258,0,1,76,34,28,4,578,33,63,0
Willamette University,Salem,OR,1909,825,1084,0,15,82,42,261,10,1203,118,120,58
Albright College,Reading,PA,1498,640,858,14,3,27,355,247,0,713,81,60,12
All-State Career School,Essington,PA,838,422,416,0,6,17,647,50,1,77,26,14,0
All-State Career School-Pittsburgh,West Mifflin,PA,369,314,55,0,0,8,206,8,0,112,22,13,0
Allegheny College,Meadville,PA,1353,635,718,2,1,46,105,114,0,925,54,34,74
Altoona Beauty School Inc,Altoona,PA,64,2,62,0,0,1,5,2,1,55,0,0,0
Alvernia University,Reading,PA,2484,880,1604,0,9,48,255,318,2,1593,76,84,99
American Barber and Beauty Academy,Reading,PA,131,22,109,0,0,0,12,63,1,43,12,0,0
Arcadia University,Glenside,PA,3026,981,2045,73,12,262,348,219,3,1698,70,312,102
ASPIRA City College,Philadelphia,PA,11,3,8,0,0,0,3,8,0,0,0,0,0
Automotive Training Center-Exton,Exton,PA,348,322,26,0,0,4,25,113,0,197,9,0,0
Automotive Training Center-Warminster,Warminster,PA,273,256,17,0,0,6,26,75,0,146,10,10,0
Aviation Institute of Maintenance-Philadelphia,Philadelphia,PA,288,258,30,0,0,9,101,56,1,89,26,6,0
Barber and Beauty Academy of Pennsylvania,Harrisburg,PA,63,3,60,0,1,5,16,12,0,18,11,0,0
Barber School of Pittsburgh,Pittsburgh,PA,104,75,29,0,1,1,35,3,0,56,7,1,0
Beaver Falls Beauty Academy,Beaver Falls,PA,24,1,23,0,0,0,11,0,0,13,0,0,0
Bella Capelli Academy,Monroeville,PA,191,1,190,0,0,1,30,1,0,153,6,0,0
Berks Career & Technology Center,Leesport,PA,42,32,10,0,0,0,1,9,0,32,0,0,0
Bryn Athyn College of the New Church,Bryn Athyn,PA,285,141,144,0,0,11,47,1,0,164,7,47,8
Bryn Mawr College,Bryn Mawr,PA,1742,63,1679,0,1,175,105,164,0,932,89,61,215
Bucknell University,Lewisburg,PA,3787,1813,1974,1,1,173,154,274,2,2844,138,6,195
Bucks County Community College,Newtown,PA,6162,2579,3583,0,20,325,382,690,6,4339,179,206,15
Bucks County School of Beauty Culture Inc,Feasterville,PA,98,2,96,0,0,2,16,6,0,73,0,1,0
Butler Beauty Academy,Butler,PA,30,0,30,0,0,1,0,2,0,27,0,0,0
Butler Beauty Academy-Kittanning Beauty Academy,Kittanning,PA,31,0,31,1,0,1,0,1,0,29,0,0,0
Butler Beauty Academy-New Castle Beauty Academy,New Castle,PA,42,1,41,0,0,0,13,1,0,28,0,0,0
Butler County Community College,Butler,PA,2496,934,1562,21,3,39,64,66,0,2182,73,57,12
Byzantine Catholic Seminary of Saints Cyril and Methodius,Pittsburgh,PA,35,29,6,0,0,2,0,0,0,26,0,7,0
Cabrini University,Radnor,PA,1613,596,1017,4,2,43,312,168,0,921,25,124,18
Cairn University-Langhorne,Langhorne,PA,1031,481,550,0,0,42,100,30,0,652,86,60,61
Career Technology Center of Lackawanna County,Scranton,PA,50,8,42,0,0,2,4,5,0,36,3,0,0
Carlow University,Pittsburgh,PA,2104,289,1815,0,9,57,351,67,0,1517,75,20,8
Carnegie Mellon University,Pittsburgh,PA,16002,8973,7029,0,6,3188,459,962,8,3021,478,836,7044
CDE Career Institute,Tannersville,PA,281,71,210,0,1,2,190,56,0,30,0,2,0
Cedar Crest College,Allentown,PA,1324,116,1208,0,1,52,118,186,0,720,32,168,47
Central Penn College,Summerdale,PA,943,329,614,2,8,25,168,108,0,428,38,135,33
Central Pennsylvania Diesel Institute,Liverpool,PA,12,11,1,0,0,0,2,0,0,10,0,0,0
Central Pennsylvania Institute of Science and Technology,Pleasant Gap,PA,131,46,85,0,0,2,6,1,0,122,0,0,0
Central Susquehanna Intermediate Unit LPN Career,Milton,PA,70,3,67,0,0,1,5,0,0,64,0,0,0
Champ's Barber School,Lancaster,PA,46,40,6,3,0,0,16,17,0,10,1,2,0
Chatham University,Pittsburgh,PA,2387,589,1798,3,5,98,170,115,0,1600,4,320,75
Chester County Intermediate Unit,Downingtown,PA,89,8,81,0,0,2,50,8,0,27,2,0,0
Chestnut Hill College,Philadelphia,PA,1420,524,896,13,3,23,354,163,1,544,38,269,25
Cheyney University of Pennsylvania,Cheyney,PA,697,232,465,0,3,6,586,32,1,14,35,13,7
Citizens School of Nursing,Tarentum,PA,78,13,65,0,0,0,2,1,0,73,2,0,0
Clarks Summit University,Clarks Summit,PA,552,288,264,0,4,12,29,40,0,426,17,2,22
Clearfield County Career and Technology Center,Clearfield,PA,29,4,25,0,0,0,0,0,0,29,0,0,0
Commonwealth Technical Institute,Johnstown,PA,94,72,22,0,0,0,16,1,0,57,6,14,0
Commonwealth University of Pennsylvania,Bloomsburg,PA,12074,4596,7478,0,39,159,692,709,11,9757,286,367,54
Community College of Allegheny County,Pittsburgh,PA,10467,4861,5606,0,29,454,1572,395,5,6453,429,1130,0
Community College of Beaver County,Monaca,PA,1720,630,1090,51,6,14,125,58,0,1395,78,43,1
Community College of Philadelphia,Philadelphia,PA,11636,3832,7804,58,28,1155,4977,2033,29,2324,425,264,401
Crawford County Career and Technical Center Practical Nursing Program,Meadville,PA,19,2,17,0,0,0,0,0,0,19,0,0,0
Curtis Institute of Music,Philadelphia,PA,151,84,67,1,0,20,3,5,0,63,0,0,60
Delaware County Community College,Media,PA,7992,3026,4966,5,19,464,2317,657,11,3788,353,311,72
Delaware County Technical School-Practical Nursing Program,Broomall,PA,36,5,31,0,0,1,29,0,0,4,1,1,0
Delaware Valley University,Doylestown,PA,2178,801,1377,151,5,28,173,153,2,1454,53,309,1
DeSales University,Center Valley,PA,2991,1020,1971,25,1,137,153,345,3,2129,66,149,8
Dickinson College,Carlisle,PA,2137,888,1249,0,1,110,97,155,1,1377,96,28,272
DLP Conemaugh Memorial Medical Center,Johnstown,PA,155,39,116,1,0,1,4,0,0,147,2,1,0
Douglas Education Center,Monessen,PA,198,49,149,0,2,0,14,19,1,149,13,0,0
Drexel University,Philadelphia,PA,22344,10174,12170,444,11,4216,2055,1686,11,10616,887,553,2309
Duquesne University,Pittsburgh,PA,8107,2934,5173,0,8,276,439,362,5,6210,263,69,475
East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,5143,2168,2975,0,7,93,943,832,8,2877,165,159,59
Eastern Center for Arts and Technology,Willow Grove,PA,127,11,116,0,0,4,85,3,0,35,0,0,0
Eastern University,Saint Davids,PA,5769,2365,3404,448,11,313,1316,589,5,2709,142,564,120
Elizabethtown College,Elizabethtown,PA,2021,793,1228,1,2,49,53,130,0,1688,43,21,35
Empire Beauty  School-Lehigh Valley,Whitehall,PA,95,6,89,0,0,1,15,32,0,10,11,26,0
Empire Beauty School-Center City Philadelphia,Philadelphia,PA,186,9,177,0,0,1,93,15,0,8,6,63,0
Empire Beauty School-Cheltenham,Wyncote,PA,139,2,137,0,0,1,96,3,0,2,4,33,0
Empire Beauty School-Hanover,Hanover,PA,49,3,46,0,0,0,1,10,0,31,5,2,0
Empire Beauty School-Harrisburg,Harrisburg,PA,138,1,137,0,0,8,38,29,0,23,4,36,0
Empire Beauty School-Lancaster,Lancaster,PA,83,4,79,0,0,4,15,33,0,26,5,0,0
Empire Beauty School-Lebanon,Lebanon,PA,37,2,35,0,0,0,5,14,0,16,1,1,0
Empire Beauty School-Monroeville,Monroeville,PA,74,1,73,0,1,3,37,1,0,19,11,2,0
Empire Beauty School-NE Philadelphia,Philadelphia,PA,86,3,83,0,0,0,39,22,0,15,3,7,0
Empire Beauty School-North Hills,Pittsburgh,PA,53,4,49,0,0,0,12,1,0,6,3,31,0
Empire Beauty School-Pottsville,Pottsville,PA,67,1,66,0,0,0,3,22,0,39,0,3,0
Empire Beauty School-Reading,Reading,PA,50,4,46,0,0,0,7,21,0,11,3,8,0
Empire Beauty School-Shamokin Dam,Shamokin Dam,PA,66,1,65,0,1,0,6,4,0,34,2,19,0
Empire Beauty School-Springfield,Springfield,PA,174,3,171,0,0,2,110,5,0,12,13,32,0
Empire Beauty School-West Mifflin,West Mifflin,PA,62,2,60,0,0,1,23,1,0,13,0,24,0
Empire Beauty School-Wyoming Valley,Moosic,PA,141,5,136,0,1,2,15,23,0,87,8,5,0
Empire Beauty School-York,York,PA,87,1,86,0,0,0,21,23,0,20,4,19,0
Erie Institute of Technology Inc,Erie,PA,136,117,19,0,0,3,9,1,0,123,0,0,0
European Medical School of Massage,Sinking Spring,PA,24,1,23,0,0,0,2,12,0,10,0,0,0
Falcon Institute of Health and Science,Bethlehem,PA,162,10,152,0,1,3,62,48,0,24,2,22,0
Fayette County Career & Technical Institute Practical Nursing Program,Uniontown,PA,77,17,60,0,0,0,17,2,1,56,1,0,0
Fortis Institute-Forty Fort,Forty Fort,PA,167,103,64,0,3,1,44,44,0,64,9,2,0
Fortis Institute-Scranton,Scranton,PA,210,15,195,0,1,7,40,41,0,107,10,4,0
Fountain of Youth Academy of Cosmetology,Bellevue,PA,70,2,68,0,0,1,45,2,0,20,2,0,0
Franklin and Marshall College,Lancaster,PA,1990,926,1064,0,3,88,109,205,0,1120,69,19,377
Franklin County Career and Technology Center,Chambersburg,PA,56,2,54,0,0,0,4,4,0,48,0,0,0
Gannon University,Erie,PA,4665,1989,2676,0,2,115,245,164,3,2817,142,212,965
Geisinger Commonwealth School of Medicine,Scranton,PA,708,289,419,0,2,136,88,62,0,376,25,19,0
Geisinger-Lewistown Hospital School of Nursing,Lewistown,PA,75,10,65,0,1,2,2,1,0,69,0,0,0
Geneva College,Beaver Falls,PA,1232,642,590,0,1,20,71,41,1,979,38,53,28
Gettysburg College,Gettysburg,PA,2854,1362,1492,0,6,89,126,316,2,2002,65,67,181
Gratz College,Melrose Park,PA,377,54,323,6,0,2,5,4,1,328,6,31,0
Great Lakes Institute of Technology,Erie,PA,350,28,322,0,0,10,57,18,0,239,19,7,0
Greater Altoona Career & Technology Center,Altoona,PA,127,33,94,2,0,1,3,2,0,112,1,8,0
Greater Johnstown Career and Technology Center,Johnstown,PA,56,34,22,0,3,2,18,0,0,31,2,0,0
Greene County Career and Technology Center,Waynesburg,PA,8,0,8,0,0,1,2,0,0,5,0,0,0
Grove City College,Grove City,PA,2316,1198,1118,0,1,50,10,19,0,2097,106,12,21
Gwynedd Mercy University,Gwynedd Valley,PA,2091,572,1519,26,4,97,339,126,1,1231,44,249,0
Harcum College,Bryn Mawr,PA,910,167,743,0,2,24,385,126,4,266,23,19,61
Harrisburg Area Community College,Harrisburg,PA,12576,4113,8463,1,32,623,1226,1564,10,8086,479,316,240
Harrisburg University of Science and Technology,Harrisburg,PA,3082,1698,1384,0,1,49,203,101,0,306,34,14,2374
Haverford College,Haverford,PA,1421,647,774,0,0,176,75,182,0,701,121,12,154
Hazleton Area Career Center,Hazle TWP.,PA,7,0,7,0,0,0,1,2,0,4,0,0,0
Health and Technology Training Institute,Philadelphia,PA,64,3,61,1,0,5,51,5,0,2,0,1,0
Heritage Valley Kennedy School of Nursing,McKees Rocks,PA,39,7,32,0,0,0,0,0,0,39,0,0,0
Holy Family University,Philadelphia,PA,2912,658,2254,29,7,191,436,309,9,1754,16,174,16
Hussian College-Philadelphia,Philadelphia,PA,80,35,45,5,1,0,42,11,0,13,2,10,1
Immaculata University,Immaculata,PA,2361,616,1745,44,2,73,222,169,1,1772,34,73,15
Indiana County Technology Center,Indiana,PA,87,14,73,0,0,5,24,0,0,55,3,0,0
Indiana University of Pennsylvania-Main Campus,Indiana,PA,8816,3431,5385,0,49,121,812,404,3,6439,321,264,403
Institute of Medical Careers,Pittsburgh,PA,844,59,785,0,23,0,453,6,0,311,0,51,0
International Institute for Restorative Practices,Bethlehem,PA,161,36,125,10,0,0,17,6,0,111,5,11,11
Jean Madeline Aveda Institute,Philadelphia,PA,251,6,245,0,0,8,76,29,2,116,18,2,0
Jefferson County Dubois Area Vocational Technical Practical Nursing Program,Reynoldsville,PA,26,0,26,0,0,0,0,0,0,26,0,0,0
Jna Institute of Culinary Arts,Philadelphia,PA,9,4,5,0,0,1,6,1,0,1,0,0,0
Johnson College,Scranton,PA,586,466,120,0,4,5,27,44,1,471,17,17,0
Joseph F McCloskey School of Nursing,Pottsville,PA,64,9,55,0,0,0,2,1,0,61,0,0,0
Juniata College,Huntingdon,PA,1212,567,645,1,1,30,52,97,0,837,44,24,127
Keystone College,La Plume,PA,1131,515,616,0,9,7,138,99,2,735,37,99,5
King's College,Wilkes-Barre,PA,1993,916,1077,0,7,54,85,197,0,1474,48,108,20
Kutztown University of Pennsylvania,Kutztown,PA,7455,3077,4378,0,10,166,539,807,8,5403,261,193,68
La Roche University,Pittsburgh,PA,2068,773,1295,0,0,22,79,37,35,658,55,978,204
La Salle University,Philadelphia,PA,4049,1337,2712,0,5,227,898,549,4,2026,124,65,151
Lackawanna College,Scranton,PA,1868,753,1115,0,8,25,261,281,3,970,46,268,6
Lafayette College,Easton,PA,2729,1364,1365,0,4,113,146,224,0,1846,118,68,210
Lake Erie College of Osteopathic Medicine,Erie,PA,4307,1868,2439,47,6,1067,195,401,5,2511,122,0,0
Lancaster Bible College,Lancaster,PA,2066,1030,1036,0,8,47,519,54,5,1173,92,168,0
Lancaster County Career and Technology Center,Willow Street,PA,239,34,205,0,0,4,52,34,0,111,24,14,0
Lancaster School of Cosmetology & Therapeutic Bodywork,Lancaster,PA,88,3,85,0,0,2,3,20,0,37,8,18,0
Lancaster Theological Seminary,Lancaster,PA,73,28,45,4,0,1,21,1,0,41,0,9,0
Lansdale School of Business,North Wales,PA,90,12,78,0,0,3,43,16,0,28,0,0,0
Lansdale School of Cosmetology Inc,Lansdale,PA,55,1,54,0,0,5,5,4,0,39,2,0,0
Laurel Business Institute,Uniontown,PA,305,95,210,0,0,1,18,2,0,282,2,0,0
Laurel Technical Institute,Hermitage,PA,118,46,72,0,0,0,17,4,0,89,7,0,1
Laurel Technical Institute,Hermitage,PA,21,1,20,0,0,0,2,0,0,18,0,1,0
Lebanon County Area Vocational Technical School,Lebanon,PA,81,9,72,0,1,0,20,18,1,36,5,0,0
Lebanon Valley College,Annville,PA,2080,914,1166,0,0,43,68,123,1,1744,61,24,16
Lehigh Carbon Community College,Schnecksville,PA,6242,2265,3977,2,40,192,496,1774,15,3360,164,185,16
Lehigh University,Bethlehem,PA,7394,3994,3400,0,6,644,347,675,4,4279,249,185,1005
Lehigh Valley Barber School,Bethlehem,PA,37,24,13,0,0,0,9,20,0,6,2,0,0
Lenape Technical School Practical Nursing Program,Ford City,PA,86,6,80,0,0,0,23,1,0,60,2,0,0
Lincoln Technical Institute-Allentown,Allentown,PA,419,60,359,0,2,4,56,155,0,105,16,81,0
Lincoln Technical Institute-Philadelphia,Philadelphia,PA,299,263,36,0,1,3,91,46,0,34,7,117,0
Luzerne County Community College,Nanticoke,PA,4220,1439,2781,0,18,75,256,786,7,2424,30,624,0
Lycoming College,Williamsport,PA,1059,502,557,0,2,14,132,147,0,645,35,50,34
Manor College,Jenkintown,PA,583,165,418,0,10,22,169,89,2,259,32,0,0
Marywood University,Scranton,PA,2729,851,1878,0,4,49,95,221,2,1913,57,200,188
Mercer County Career Center,Mercer,PA,5,0,5,0,0,0,1,1,0,3,0,0,0
Mercyhurst University,Erie,PA,2801,1124,1677,0,10,27,135,127,1,2083,14,268,136
Messiah University,Mechanicsburg,PA,3231,1198,2033,3,4,107,134,230,2,2519,122,32,81
Metro Beauty Academy,Allentown,PA,186,2,184,0,0,2,2,28,0,140,8,5,1
Mifflin County Academy of Science and Technology,Lewistown,PA,38,0,38,0,0,1,0,3,0,33,1,0,0
Miller-Motte College-Berks Technical Institute,Wyomissing,PA,311,125,186,0,2,4,33,157,0,84,26,5,0
Miller-Motte College-McCann-Allentown,Allentown,PA,233,92,141,0,1,0,41,123,1,44,15,8,0
Miller-Motte College-McCann-Lewisburg,Lewisburg,PA,144,12,132,0,0,0,16,13,0,107,6,2,0
Millersville University of Pennsylvania,Millersville,PA,6775,2650,4125,0,16,208,582,633,8,5103,79,59,87
Misericordia University,Dallas,PA,2242,719,1523,0,2,32,72,90,2,1804,58,179,3
Missio Theological Seminary,Philadelphia,PA,160,81,79,0,0,23,63,1,0,38,1,3,31
Montgomery County Community College,Blue Bell,PA,8596,3454,5142,2,22,521,1356,906,11,4713,490,440,137
Moore College of Art and Design,Philadelphia,PA,368,1,367,0,0,19,59,26,3,207,21,33,0
Moravian University,Bethlehem,PA,2533,924,1609,5,5,62,109,333,2,1710,38,246,28
Mount Aloysius College,Cresson,PA,2752,933,1819,6,18,44,43,11,6,1941,0,619,70
Muhlenberg College,Allentown,PA,1959,771,1188,0,0,66,84,220,2,1405,73,82,27
Neumann University,Aston,PA,2155,751,1404,1,3,57,552,156,3,1221,68,71,24
New Castle School of Trades,New Castle,PA,628,570,58,0,1,1,90,12,1,494,19,10,0
Northampton County Area Community College,Bethlehem,PA,8484,3155,5329,10,49,259,1111,1981,9,3824,273,890,88
Northern Pennsylvania Regional College,Warren,PA,74,21,53,0,0,0,1,9,0,60,2,2,0
Northern Tier Career Center,Towanda,PA,34,1,33,0,1,1,1,0,0,31,0,0,0
Orleans Technical College,Philadelphia,PA,227,212,15,0,0,3,108,52,1,41,3,19,0
Peirce College,Philadelphia,PA,856,199,657,1,6,27,455,112,3,161,13,78,1
Penn Commercial Business/Technical School,Washington,PA,243,101,142,0,0,12,18,6,0,187,9,11,0
Pennco Tech-Bristol,Bristol,PA,515,451,64,0,0,11,121,125,0,241,17,0,0
Pennsylvania Academy of the Fine Arts,Philadelphia,PA,172,53,119,12,1,9,16,14,0,96,7,11,18
Pennsylvania College of Art and Design,Lancaster,PA,245,69,176,6,0,14,30,5,1,173,7,15,0
Pennsylvania College of Health Sciences,Lancaster,PA,1775,207,1568,0,2,94,203,288,4,1122,39,23,0
Pennsylvania College of Technology,Williamsport,PA,4241,2729,1512,24,8,62,155,221,5,3635,116,38,1
Pennsylvania Gunsmith School,Pittsburgh,PA,52,51,1,0,0,0,1,1,1,43,4,0,2
Pennsylvania Highlands Community College,Johnstown,PA,2270,850,1420,0,1,19,75,45,0,1968,39,123,0
Pennsylvania Institute of Technology,Media,PA,651,71,580,0,4,4,409,17,0,120,37,58,2
Pennsylvania State University-Main Campus,University Park,PA,50028,26390,23638,179,49,3307,2168,3955,37,29395,1691,1523,7903
Pennsylvania State University-Penn State Abington,Abington,PA,3090,1811,1279,18,7,552,419,388,3,1348,102,49,222
Pennsylvania State University-Penn State Altoona,Altoona,PA,2577,1360,1217,22,4,104,156,188,2,1898,74,44,107
Pennsylvania State University-Penn State Beaver,Monaca,PA,522,289,233,3,0,15,50,44,0,361,24,20,8
