Name,City,State,Total Enrollment,Enrollment Men,Enrollment Women,Another Gender,American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident
DeVry University-Arizona,Phoenix,AZ,73,42,31,14,0,1,9,15,1,37,2,4,4
Dine College,Tsaile,AZ,1552,391,1161,0,1516,6,3,3,1,15,0,5,3
East Valley Institute of Technology,Mesa,AZ,600,221,379,0,12,12,72,238,2,238,26,0,0
Eastern Arizona College,Thatcher,AZ,4864,1989,2875,0,270,44,66,1097,13,3109,84,144,37
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,3162,2295,867,5,16,191,62,474,16,1814,217,72,300
Empire Beauty School-Avondale,Avondale,AZ,192,4,188,0,2,1,30,82,3,41,2,31,0
Empire Beauty School-Chandler,Chandler,AZ,60,5,55,0,4,2,15,12,0,9,2,16,0
Empire Beauty School-Tucson,Tucson,AZ,184,10,174,0,6,2,14,97,0,43,14,8,0
Estrella Mountain Community College,Avondale,AZ,9620,3752,5868,114,107,338,689,5549,21,2329,441,117,29
GateWay Community College,Phoenix,AZ,4699,1663,3036,65,124,142,487,2540,14,1159,147,78,8
Gateway Community College,Phoenix,AZ,5578,2108,3470,0,4,251,1310,1777,11,1882,232,87,24
GateWay Community College-Central City,Phoenix,AZ,443,178,265,9,10,14,41,240,1,121,13,3,0
Glendale Community College,Glendale,AZ,13342,5915,7427,170,171,646,778,5426,25,5194,670,329,103
Glendale Community College,Glendale,AZ,10658,4798,5860,282,8,818,250,2958,16,5813,311,245,239
Grand Canyon University,Phoenix,AZ,101816,27888,73928,632,967,3288,18952,21569,600,47725,4233,3502,980
HDS Truck Driving Institute,Tucson,AZ,411,353,58,0,4,3,54,205,4,92,2,47,0
Indian Bible College,Flagstaff,AZ,32,18,14,0,26,1,1,1,0,3,0,0,0
International Baptist College and Seminary,Chandler,AZ,82,53,29,0,0,0,3,9,1,52,12,1,4
International Barber College,Chandler,AZ,34,27,7,0,2,1,12,11,0,7,0,1,0
Kino College,Tucson,AZ,18,0,18,0,0,1,2,9,0,5,1,0,0
Kor Beauty Academy,Peoria,AZ,50,3,47,0,0,0,3,24,0,20,1,2,0
Mesa Community College,Mesa,AZ,15772,7109,8663,184,475,644,823,5311,50,7163,748,329,229
Midwestern University-Glendale,Glendale,AZ,3782,1486,2296,0,8,637,114,466,7,2191,171,53,135
Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,411,352,59,0,44,2,40,190,4,98,31,2,0
Mohave Community College,Kingman,AZ,4038,1285,2753,0,79,86,54,1099,12,2460,158,61,29
National Paralegal College,Phoenix,AZ,486,67,419,0,0,5,35,33,1,150,0,262,0
National Tractor Trailer School,Phoenix,AZ,136,108,28,0,1,1,38,35,2,48,5,6,0
Northern Arizona University,Flagstaff,AZ,28086,10274,17812,0,841,825,833,6960,68,15348,1505,763,943
Northland Pioneer College,Holbrook,AZ,2740,991,1749,0,764,23,11,426,5,1115,38,357,1
Ottawa University-Surprise,Surprise,AZ,1736,838,898,0,35,223,148,451,13,614,100,15,137
Paradise Valley Community College,Phoenix,AZ,5676,2545,3131,85,70,224,194,1626,6,3029,285,202,40
Pathways College-Arizona,Phoenix,AZ,6,1,5,0,1,0,0,3,0,2,0,0,0
